day,run_id,audit_file,platform_id,version,git_commit,git_dirty,experiment_id,experiment_phase,protocol_version,audit_schema_version,vlm_model,vlm_model_digest,vlm_quantization,ollama_version,gpu_driver_version,sas_text_version,m3_jaccard_threshold,m3_abstention_margin,geojson_md5,route_graph_md5,route_graph_source,memory_digest_path,memory_status,memory_loaded,memory_digest_hash,memory_digest_size_bytes,m3_preferences_count,poi_signatures_loaded,pose_based_radius_m,odom_topic,yolo_dedup_radius_m,yolo_min_observations,context_server,context_server_url,policy_path,platform_profile,decision_records
day2_20260821,20260821_112657,day2_20260821/logs/audit_20260821_112657.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_112757,day2_20260821/logs/audit_20260821_112757.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_112926,day2_20260821/logs/audit_20260821_112926.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113110,day2_20260821/logs/audit_20260821_113110.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113258,day2_20260821/logs/audit_20260821_113258.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113407,day2_20260821/logs/audit_20260821_113407.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113529,day2_20260821/logs/audit_20260821_113529.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113623,day2_20260821/logs/audit_20260821_113623.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113656,day2_20260821/logs/audit_20260821_113656.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113738,day2_20260821/logs/audit_20260821_113738.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",1
day2_20260821,20260821_113819,day2_20260821/logs/audit_20260821_113819.jsonl,xplorer-b,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.60:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/platform/odom/filtered,1.5,3,http://192.168.53.60:8080,http://192.168.53.60:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'single-rpi5', 'description': 'Xplorer-B: single RPi5 (Nav2 + YOLO on same processor)', 'yolo_diag_topic': '/yolo26/diagnostics', 'battery_topics': {'front': '/front_battery_state', 'rear': '/rear_battery_state'}}",0
day2_20260821,20260821_115152,day2_20260821/logs/audit_20260821_115152.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115254,day2_20260821/logs/audit_20260821_115254.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115341,day2_20260821/logs/audit_20260821_115341.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115538,day2_20260821/logs/audit_20260821_115538.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115711,day2_20260821/logs/audit_20260821_115711.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115814,day2_20260821/logs/audit_20260821_115814.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_115924,day2_20260821/logs/audit_20260821_115924.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120124,day2_20260821/logs/audit_20260821_120124.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120305,day2_20260821/logs/audit_20260821_120305.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120446,day2_20260821/logs/audit_20260821_120446.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120634,day2_20260821/logs/audit_20260821_120634.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120808,day2_20260821/logs/audit_20260821_120808.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_120902,day2_20260821/logs/audit_20260821_120902.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_121016,day2_20260821/logs/audit_20260821_121016.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_121153,day2_20260821/logs/audit_20260821_121153.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
day2_20260821,20260821_121300,day2_20260821/logs/audit_20260821_121300.jsonl,xplorer-c,v4.8-review,f973aa0c4920e47cdd85d7e4e263e3b66fb41ddc,False,E3,,E-2026-09,2.1,qwen3.5:4b,0c8faadc50c205b83c634430c1dae6d1a4896c9b818cb8f290aa34d535265018,Q4_K_M,ollama version is 0.30.2,580.173.02,1.2.0,0.75,0.1,2e48375071c0e4ea7cd38c0e48ef97c5,e0130b78b00ec55822dbc39a41429817,http://192.168.53.159:8080/graph,/home/fiir-eq2/Documents/VLM/sprint_73_delivery/memory/memory_digest.json,loaded,True,97241265217eb4b08e26fb718eb21f40,1844,6,15,1.5,/odom,1.5,3,http://192.168.53.159:8080,http://192.168.53.159:8080,/home/fiir-eq2/Documents/VLM/policy.yaml,"{'architecture': 'dual-rpi5', 'description': 'Xplorer-C: dual RPi5 (saim=Nav2, nav=YOLO dedicated)', 'yolo_diag_topic': None, 'battery_topics': {}}",1
